"","pop","trt","bagnum","offset_mll","offset_full","method"
"1","HOR","TempControl-21psu",1,1.59502914683288,3.32487858613296,"rda_offset"
"2","KUR","TempControl-21psu",2,1.29376709716113,2.900276216067,"rda_offset"
"3","BAR","TempControl-21psu",3,0.787808822675772,2.68361323817243,"rda_offset"
"4","HOG","TempControl-21psu",4,0.659947990720002,2.55875667751997,"rda_offset"
"5","VIK","TempControl-21psu",5,0.335406637699467,1.66498410981633,"rda_offset"
"6","VAT","TempControl-21psu",6,0.538959000072202,2.16120095551071,"rda_offset"
"7","KAL","TempControl-21psu",7,1.48651398488734,2.96053769755463,"rda_offset"
"8","BJO","TempControl-21psu",8,1.33452894054776,3.52893078328026,"rda_offset"
"9","KAL","TempControl-7psu",9,0.131921757872031,0.250102835623778,"rda_offset"
"10","KUR","TempControl-7psu",10,0.245431281003143,0.166812070946681,"rda_offset"
"11","BJO","TempControl-7psu",11,0.204911357884025,0.894312281123691,"rda_offset"
"12","VIK","TempControl-7psu",12,1.05805103612103,0.988588482283807,"rda_offset"
"13","VAT","TempControl-7psu",13,1.35343679892316,0.54923390642015,"rda_offset"
"14","HOR","TempControl-7psu",14,0.473661921917595,0.546777750919587,"rda_offset"
"15","HOG","TempControl-7psu",15,0.77721858249694,0.151678184410885,"rda_offset"
"16","BAR","TempControl-7psu",16,0.690635075161053,0.00379234056896328,"rda_offset"
"17","VIK","TempControl-21psu",17,0.345111012395396,1.68393819975991,"rda_offset"
"18","HOG","TempControl-21psu",18,0.640542872636052,2.52084849763283,"rda_offset"
"19","VAT","TempControl-21psu",19,0.538959000072202,2.16120095551071,"rda_offset"
"20","BJO","TempControl-21psu",20,1.33096134792516,3.51405188658257,"rda_offset"
"21","BAR","TempControl-21psu",21,0.787808822675772,2.68361323817243,"rda_offset"
"22","KAL","TempControl-21psu",22,1.47665107377272,2.94158360761106,"rda_offset"
"23","HOR","TempControl-21psu",23,1.58901321654179,3.32080339288707,"rda_offset"
"24","KUR","TempControl-21psu",24,1.2875533266796,2.89620102282111,"rda_offset"
"25","VAT","TempControl-7psu",25,1.3442909749688,0.530279816476578,"rda_offset"
"26","HOG","TempControl-7psu",26,0.77721858249694,0.151678184410885,"rda_offset"
"27","VIK","TempControl-7psu",27,1.05805103612103,0.988588482283807,"rda_offset"
"28","BAR","TempControl-7psu",28,0.696511259979219,0.00786753381485153,"rda_offset"
"29","KUR","TempControl-7psu",29,0.233742943853471,0.204720250833826,"rda_offset"
"30","KAL","TempControl-7psu",30,0.131921757872031,0.250102835623778,"rda_offset"
"31","HOR","TempControl-7psu",31,0.477636287946863,0.610368530956212,"rda_offset"
"32","BJO","TempControl-7psu",32,0.20899209208602,0.860479294482435,"rda_offset"
"33","VIK","TempControl-21psu",33,0.283721039493822,1.68601540376346,"rda_offset"
"34","VAT","TempControl-21psu",34,0.501854260260224,2.20118633940141,"rda_offset"
"35","HOR","TempControl-21psu",35,1.51892632278696,3.29312280349526,"rda_offset"
"36","BJO","TempControl-21psu",36,1.2869654139521,3.56484097392507,"rda_offset"
"37","KAL","TempControl-21psu",37,1.4172690499475,2.94366081161462,"rda_offset"
"38","BAR","TempControl-21psu",38,0.724539899458523,2.68569044217599,"rda_offset"
"39","HOG","TempControl-21psu",39,0.588545206071987,2.54187979157996,"rda_offset"
"40","KUR","TempControl-21psu",40,1.2265718155675,2.89827822682467,"rda_offset"
"41","VAT","TempControl-7psu",41,1.39360236392655,0.532277805718908,"rda_offset"
"42","HOG","TempControl-7psu",42,0.826762799275069,0.134722083709644,"rda_offset"
"43","BJO","TempControl-7psu",43,0.196454385890982,0.930222471768506,"rda_offset"
"44","KUR","TempControl-7psu",44,0.243982096182008,0.225751544780956,"rda_offset"
"45","BAR","TempControl-7psu",45,0.748500087307817,0.00986552305718189,"rda_offset"
