"","pop","trt","bagnum","offset_mll","offset_full","method"
"1","HOR","TempControl-21psu",1,3.22171703634763,3.77659023840342,"rda_offset"
"2","KUR","TempControl-21psu",2,2.7518858825924,3.19214766028388,"rda_offset"
"3","BAR","TempControl-21psu",3,1.86744587433902,2.34842776061572,"rda_offset"
"4","HOG","TempControl-21psu",4,1.72166698503086,2.1607722340211,"rda_offset"
"5","VIK","TempControl-21psu",5,0.99796235376684,1.28965768066627,"rda_offset"
"6","VAT","TempControl-21psu",6,0.874448152879785,1.38947346410552,"rda_offset"
"7","KAL","TempControl-21psu",7,2.95244730319561,3.37398529891016,"rda_offset"
"8","BJO","TempControl-21psu",8,3.17239446556241,3.70936240531865,"rda_offset"
"9","KAL","TempControl-7psu",9,0.167595857811083,0.234645612305581,"rda_offset"
"10","KUR","TempControl-7psu",10,0.0655770477394326,0.0383097662078791,"rda_offset"
"11","BJO","TempControl-7psu",11,0.469752531854141,0.656458060163272,"rda_offset"
"12","VIK","TempControl-7psu",12,1.73152739163433,1.78538359674956,"rda_offset"
"13","VAT","TempControl-7psu",13,1.91221910660514,1.75628833886608,"rda_offset"
"14","HOR","TempControl-7psu",14,0.382266977247396,0.579132490920727,"rda_offset"
"15","HOG","TempControl-7psu",15,1.06720675007427,0.980067652758221,"rda_offset"
"16","BAR","TempControl-7psu",16,0.888588585462007,0.759973543193302,"rda_offset"
"17","VIK","TempControl-21psu",17,1.0174033831743,1.31162037940877,"rda_offset"
"18","HOG","TempControl-21psu",18,1.68274911347335,2.11684478885697,"rda_offset"
"19","VAT","TempControl-21psu",19,0.874448152879785,1.38947346410552,"rda_offset"
"20","BJO","TempControl-21psu",20,3.16423083666764,3.69860768571967,"rda_offset"
"21","BAR","TempControl-21psu",21,1.86744587433902,2.34842776061572,"rda_offset"
"22","KAL","TempControl-21psu",22,2.93297151432116,3.35202223820891,"rda_offset"
"23","HOR","TempControl-21psu",23,3.21039722311784,3.7653818532003,"rda_offset"
"24","KUR","TempControl-21psu",24,2.74057022922247,3.18093804817792,"rda_offset"
"25","VAT","TempControl-7psu",25,1.89274846186821,1.73435218655763,"rda_offset"
"26","HOG","TempControl-7psu",26,1.06720675007427,0.980067652758221,"rda_offset"
"27","VIK","TempControl-7psu",27,1.73152739163433,1.78538359674956,"rda_offset"
"28","BAR","TempControl-7psu",28,0.899907869497044,0.771168012681002,"rda_offset"
"29","KUR","TempControl-7psu",29,0.0288508648333972,0.0705430046133549,"rda_offset"
"30","KAL","TempControl-7psu",30,0.167595857811083,0.234645612305581,"rda_offset"
"31","HOR","TempControl-7psu",31,0.426055162695092,0.632393994478509,"rda_offset"
"32","BJO","TempControl-7psu",32,0.442396344563984,0.623745489869376,"rda_offset"
"33","VIK","TempControl-21psu",33,0.978022349500573,1.26787098794877,"rda_offset"
"34","VAT","TempControl-21psu",34,0.873784585651167,1.38870555039734,"rda_offset"
"35","HOR","TempControl-21psu",35,3.15342921848123,3.69960596657421,"rda_offset"
"36","BJO","TempControl-21psu",36,3.15987096362167,3.69812230114385,"rda_offset"
