setupKey,setupLabel,bagKey,setupTimestamp,nbr_leaves,sideShoot,nbr_sideShootLeaves,length_longest_leaf,leaf_width_hole,weight,IsBlackLesions,IsDNAsample,IsHole,Notes,setupImage,useremail
bc5b83e1,07/03/2024 09:04:25,F054C074,7/3/2024 9:04:25,4,FALSE,0,29.5,NA,1.42,TRUE,TRUE,TRUE,,Setup_Images/bc5b83e1.setupImage.071039.jpg,camillerumberger11@gmail.com
d41ef99d,07/03/2024 09:11:53,F054C074,7/3/2024 9:11:53,5,FALSE,0,21.5,NA,1.11,FALSE,TRUE,TRUE,,Setup_Images/d41ef99d.setupImage.071411.jpg,camillerumberger11@gmail.com
d78fa9a5,07/03/2024 09:14:53,F054C074,7/3/2024 9:14:53,5,FALSE,0,11.7,NA,1.23,FALSE,TRUE,TRUE,,Setup_Images/d78fa9a5.setupImage.071640.jpg,camillerumberger11@gmail.com
4c73a0dc,PRACTICE07/03/2024 09:18:13,F054C074,7/3/2024 9:18:13,5,FALSE,0,35.5,NA,1.86,FALSE,TRUE,TRUE,,Setup_Images/4c73a0dc.setupImage.072007.jpg,camillerumberger11@gmail.com
2b387ec8,PRACTICE07/03/2024 09:20:20,F054C074,7/3/2024 9:20:20,4,FALSE,0,26,NA,1.66,FALSE,TRUE,TRUE,,Setup_Images/2b387ec8.setupImage.072301.jpg,camillerumberger11@gmail.com
5b0ba144,PRACTICE07/03/2024 09:23:02,F054C074,7/3/2024 9:23:02,8,TRUE,2,35.6,NA,4.18,FALSE,TRUE,TRUE,,Setup_Images/5b0ba144.setupImage.072748.jpg,camillerumberger11@gmail.com
c17c4d6b,003_A1_BAR_gen-01_TempControl-21psu07/04/2024 07:14:00,A622BDC6,7/4/2024 7:14:00,5,FALSE,0,36.5,NA,1.78,FALSE,TRUE,TRUE,,Setup_Images/c17c4d6b.setupImage.051600.jpg,camillerumberger11@gmail.com
066ae7d9,016_A1_BAR_gen-02_TempControl-7psu07/04/2024 07:17:27,7CEB63EA,7/4/2024 7:17:27,4,FALSE,0,26,NA,1.57,FALSE,TRUE,TRUE,picture not saving,,camillerumberger11@gmail.com
dd5a123e,021_A1_BAR_gen-03_TempControl-21psu07/04/2024 07:17:51,7150E0DB,7/4/2024 7:17:51,5,FALSE,0,37,NA,1.51,FALSE,TRUE,TRUE,,Setup_Images/dd5a123e.setupImage.052024.jpg,camillerumberger11@gmail.com
e0424209,028_A1_BAR_gen-04_TempControl-7psu07/04/2024 07:19:58,BB0780DF,7/4/2024 7:19:58,5,FALSE,0,30.7,NA,1.56,FALSE,TRUE,TRUE,,Setup_Images/e0424209.setupImage.052212.jpg,camillerumberger11@gmail.com
