"index","CHROM","POS","pvals","qvals","median_temp_scaled","max_temp_scaled","median_sal_scaled","min_sal_scaled","pred","cand"
"V1","Chr01",153866,0.0210297007317284,0.123677375114165,0.012606010394982,-0.0254128396685858,-0.0152436020129596,0.0294760381388198,"min_sal_scaled",FALSE
"V10","Chr01",629768,0.859524739876896,0.99970693856244,-0.0019915077883982,0.000623750318204653,0.00547414866221717,-0.00229777955007901,"median_sal_scaled",FALSE
"V100","Chr01",3818886,0.743890030214029,0.99970693856244,-0.0020673993151229,0.000637571854545732,0.0067454667262128,-0.00309186929255969,"median_sal_scaled",FALSE
"V1000","Chr02",3635125,0.49147781538859,0.990236783597753,-0.00891766833877912,0.00270318623474935,0.00553968314801996,-0.00863149278107145,"median_sal_scaled",FALSE
"V1001","Chr02",3736824,0.601190137673516,0.99970693856244,-0.00363016507689178,0.00103437881620453,0.0111482764193687,-0.00447971142727148,"median_sal_scaled",FALSE
"V1002","Chr02",3831563,0.785624864482616,0.99970693856244,-0.00227447445266184,-0.000579131595653871,0.00871160213343639,-0.00401696801257026,"median_sal_scaled",FALSE
"V1003","Chr02",3874135,0.995739899393706,0.99970693856244,0.00171121583805693,-0.000218501186622759,-0.000295636268700306,0.000756737469513285,"median_temp_scaled",FALSE
"V1004","Chr02",3874629,0.927607562794706,0.99970693856244,0.000940278236666074,0.0011071970684956,0.00259652007579048,0.00123522940578847,"median_sal_scaled",FALSE
"V1005","Chr02",3889201,0.216477270489773,0.613885152805055,-0.00486492844504091,0.0108875042413931,0.00732950049148768,0.00115558037182935,"max_temp_scaled",FALSE
"V1006","Chr02",3916502,0.806967513635673,0.99970693856244,7.52595377147436e-05,-0.00494194224157924,0.000964531308934023,0.00566370490788524,"min_sal_scaled",FALSE
"V1007","Chr02",3962311,0.0733627469644697,0.343552376028736,-0.0195152132078311,0.0584724725434553,0.0442215395891347,-0.0132746356402866,"max_temp_scaled",FALSE
"V1008","Chr02",4065388,0.078274400262319,0.360349284141339,-0.00505805009127963,0.0168801938754842,0.0120019096249288,0.00375561645140581,"max_temp_scaled",FALSE
"V1009","Chr02",4099279,0.60361198838394,0.99970693856244,7.03949004377931e-05,-0.00592763270884044,0.01134326944941,-0.00414133722592519,"median_sal_scaled",FALSE
"V101","Chr01",3839092,0.0455624292739091,0.232005880109266,0.012066513724173,0.0345292668874489,0.00418850209963332,-0.00246408855166641,"max_temp_scaled",FALSE
"V1010","Chr02",4114316,0.915874620362326,0.99970693856244,-0.00527936197191956,-0.00212525609198,2.12710239488708e-05,-8.98350768894639e-05,"median_sal_scaled",FALSE
"V1011","Chr02",4142633,0.123187675503606,0.485023610185488,0.0447035518066288,0.000910341023664853,-0.0102392267658598,0.0140053294757268,"median_temp_scaled",FALSE
"V1012","Chr02",4153476,0.56906658014913,0.99970693856244,-0.00365461219074529,0.0087875528115414,0.00413687853644523,0.00115285692761766,"max_temp_scaled",FALSE
"V1013","Chr02",4155086,0.962115818321301,0.99970693856244,-0.00152263921549657,0.000189980791711368,0.00366043447613838,-0.00170085270493071,"median_sal_scaled",FALSE
