"index","CHROM","POS","pvals","qvals","median_temp_scaled","max_temp_scaled","median_sal_scaled","min_sal_scaled","pred","cand"
"V1","Chr01",153866,0.0456737045928789,0.352838084335828,0.0249481273745955,-0.0472409814098386,-0.0281103587378208,0.0217971296675756,"median_temp_scaled",FALSE
"V10","Chr01",982641,0.405502207417844,0.95526166272366,-0.00510721152499849,-0.00487277034216731,0.0237049238596207,-0.00837797423042455,"median_sal_scaled",FALSE
"V100","Chr01",5017521,0.0956968610185806,0.520673243821524,-0.0380294119934487,-0.0130089202547679,-0.012242440650499,0.00502776193092959,"min_sal_scaled",FALSE
"V1000","Chr02",30173423,0.424832686616324,0.95807716218759,-0.00449039269952364,-0.0197576907195002,-0.0048154406303926,0.00911491376155433,"min_sal_scaled",FALSE
"V1001","Chr02",30178046,0.428536619066614,0.95807716218759,0.00388080236464477,-0.00794289979024362,-0.0181319898794671,0.00458365369538694,"min_sal_scaled",FALSE
"V1002","Chr02",30365211,0.606155682461543,0.971545823628789,0.0192676975465286,-0.0150164095746139,-0.00898190007555512,0.00869128778766308,"median_temp_scaled",FALSE
"V1003","Chr02",30423711,0.929259341684907,0.998996531622954,0.00249753819980687,-0.00315591834414067,-0.00487871957248777,-0.00204052202723054,"median_temp_scaled",FALSE
"V1004","Chr02",30814511,0.218644631292764,0.815485381578418,-0.00182488060488063,0.0151068872669921,-0.013847902251201,0.00435083208831544,"max_temp_scaled",FALSE
"V1005","Chr02",30986070,0.802502654335705,0.998996531622954,0.00262519996577525,-0.0149682762670544,0.00434812292545666,0.00532688604090861,"min_sal_scaled",FALSE
"V1006","Chr02",31020419,0.00111167704105742,0.0315425373518723,-0.05777666675082,0.138280279727582,0.132068721848804,0.0404393759020977,"max_temp_scaled",FALSE
"V1007","Chr02",31212552,0.0111371246959254,0.150663518631566,-0.0501195917668447,0.208019986655912,0.141941847074512,-0.0508856828102233,"max_temp_scaled",FALSE
"V1008","Chr02",31467278,0.696188082497964,0.998996531622954,0.0104840403979549,-0.00997661599358097,-0.0154448775587389,0.00165240368829523,"median_temp_scaled",FALSE
"V1009","Chr02",31467955,0.994542670117696,0.998996531622954,-0.000433147880962542,0.00326415397370013,0.00444915064273282,-0.00462897243279011,"median_sal_scaled",FALSE
"V101","Chr01",5046721,0.216359520706845,0.811949944210113,0.00307411864839528,0.00428548114420669,-0.00078926868680231,-0.0124475708326837,"max_temp_scaled",FALSE
"V1010","Chr02",31482671,0.0017303104021241,0.0441447258894855,-0.0309607731134826,0.083587424295063,0.035753478510096,-0.00438788238298464,"max_temp_scaled",FALSE
"V1011","Chr02",31533497,0.494107099195527,0.970543170732851,0.0152110915048151,-0.0536405439617434,-0.0150762216336792,0.000314188974804971,"median_temp_scaled",FALSE
