"trt","pop","fit_off","method","fit","metric","coast","pop_ord","trt_ord"
"TempControl_21psu","BAR",0,"cf","rel","weigh","West",4,1
"TempControl_21psu","HOG",0,"cf","rel","len","West",3,1
"TempControl_21psu","HOG",0,"cf","rel","surv","West",3,1
"TempControl_21psu","HOG",0,"cf","rel","len","West",3,1
"TempControl_21psu","BAR",0,"cf","rel","len","West",4,1
"TempControl_21psu","HOG",0,"cf","rel","weigh","West",3,1
"TempControl_21psu","BAR",0,"cf","rel","len","West",4,1
"TempControl_21psu","BAR",0,"cf","rel","surv","West",4,1
"TempControl_21psu","VAT",0,"cf","rel","surv","West",1,1
"TempControl_21psu","BAR",0,"cf","rel","surv","West",4,1
"TempControl_21psu","BAR",0,"cf","rel","weigh","West",4,1
"TempControl_21psu","VIK",0,"cf","rel","weigh","West",2,1
"TempControl_21psu","HOG",0,"cf","rel","weigh","West",3,1
"TempControl_21psu","HOG",0,"cf","rel","surv","West",3,1
"TempControl_21psu","VIK",0,"cf","rel","len","West",2,1
"TempControl_21psu","VIK",0,"cf","rel","surv","West",2,1
"TempControl_21psu","VAT",0,"cf","rel","len","West",1,1
"TempControl_21psu","VIK",0,"cf","rel","len","West",2,1
"TempControl_21psu","VAT",0,"cf","rel","weigh","West",1,1
"TempControl_21psu","VAT",0,"cf","rel","surv","West",1,1
"TempControl_21psu","VAT",0,"cf","rel","weigh","West",1,1
"TempControl_21psu","VIK",0,"cf","rel","surv","West",2,1
"TempControl_21psu","VAT",0,"cf","rel","len","West",1,1
"TempControl_21psu","VIK",0,"cf","rel","weigh","West",2,1
"TempControl_7psu","BJO",0,"cf","rel","surv","East",8,2
"TempControl_7psu","BJO",0,"cf","rel","len","East",8,2
"TempControl_7psu","KAL",0,"cf","rel","surv","East",6,2
"TempControl_7psu","BJO",0,"cf","rel","weigh","East",8,2
"TempControl_7psu","HOR",0,"cf","rel","len","East",7,2
"TempControl_7psu","HOR",0,"cf","rel","surv","East",7,2
"TempControl_7psu","HOR",0,"cf","rel","len","East",7,2
"TempControl_7psu","BJO",0,"cf","rel","len","East",8,2
"TempControl_7psu","HOR",0,"cf","rel","weigh","East",7,2
"TempControl_7psu","KAL",0,"cf","rel","len","East",6,2
"TempControl_7psu","KUR",0,"cf","rel","len","East",5,2
"TempControl_7psu","KAL",0,"cf","rel","weigh","East",6,2
"TempControl_7psu","BJO",0,"cf","rel","surv","East",8,2
"TempControl_7psu","BJO",0,"cf","rel","weigh","East",8,2
"TempControl_7psu","KUR",0,"cf","rel","surv","East",5,2
"TempControl_7psu","HOR",0,"cf","rel","weigh","East",7,2
"TempControl_7psu","KAL",0,"cf","rel","surv","East",6,2
"TempControl_7psu","KUR",0,"cf","rel","weigh","East",5,2
"TempControl_7psu","KAL",0,"cf","rel","weigh","East",6,2
"TempControl_7psu","HOR",0,"cf","rel","surv","East",7,2
"TempControl_7psu","KUR",0,"cf","rel","surv","East",5,2
"TempControl_7psu","KAL",0,"cf","rel","len","East",6,2
"TempControl_7psu","KUR",0,"cf","rel","len","East",5,2
"TempControl_7psu","KUR",0,"cf","rel","weigh","East",5,2
"TempWarm_16psu","HOG",-0.242424242424242,"cf","rel","surv","West",3,3
"TempWarm_16psu","HOG",-0.43881496844359,"cf","rel","len","West",3,3
"TempWarm_16psu","VAT",-0.519766979598631,"cf","rel","len","West",1,3
"TempWarm_16psu","BAR",-4.89635753913437,"cf","rel","weigh","West",4,3
"TempWarm_16psu","BAR",-0.416666666666667,"cf","rel","surv","West",4,3
"TempWarm_16psu","BAR",-0.416666666666667,"cf","rel","surv","West",4,3
"TempWarm_16psu","VAT",-0.702479338842975,"cf","rel","surv","West",1,3
"TempWarm_16psu","BAR",-0.248370032096422,"cf","rel","weigh","West",4,3
"TempWarm_16psu","HOG",1.33579770287111,"cf","rel","weigh","West",3,3
"TempWarm_16psu","HOG",-0.211077658675678,"cf","rel","len","West",3,3
"TempWarm_16psu","HOG",-0.171898618119138,"cf","rel","weigh","West",3,3
"TempWarm_16psu","BAR",-1.52402296157649,"cf","rel","len","West",4,3
